flow rate(lit/min,speed,capacity,voltage,current,temprature,capacity in watt,performance
40,1400,0.5,120,3.104166667,10,372.5,0
80,2800,1,240,3.104166667,20,745,0
40,1400,0.5,120,3.104166667,10,372.5,0
160,5600,2,480,3.104166667,40,1490,1
40,1400,0.5,120,3.104166667,10,372.5,0
80,2800,1,240,3.104166667,20,745,0
160,5600,2,480,3.104166667,40,1490,1
200,7000,2.5,600,3.104166667,50,1862.5,1
240,8400,3,720,3.104166667,60,2235,1
40,1400,0.5,120,3.104166667,10,372.5,0
80,2800,1,240,3.104166667,20,745,0
160,5600,2,480,3.104166667,40,1490,1
120,4200,1.5,360,3.104166667,30,1117.5,0
160,5600,2,480,3.104166667,40,1490,1
240,8400,3,720,3.104166667,60,2235,1
40,1400,0.5,120,3.104166667,10,372.5,0
40,1400,0.5,120,3.104166667,10,372.5,0
80,2800,1,240,3.104166667,20,745,0
120,4200,1.5,360,3.104166667,30,1117.5,0
160,5600,2,480,3.104166667,40,1490,1
160,5600,2,480,3.104166667,40,1490,1
40,1400,0.5,120,3.104166667,10,372.5,0
80,2800,1,240,3.104166667,20,745,0
120,4200,1.5,360,3.104166667,30,1117.5,0
80,2800,1,240,3.104166667,20,745,0
400,14000,5,1200,3.104166667,100,3725,1
120,4200,1.5,360,3.104166667,30,1117.5,0
40,1400,0.5,120,3.104166667,10,372.5,0
40,1400,0.5,120,3.104166667,10,372.5,0
80,2800,1,240,3.104166667,20,745,0
80,2800,1,240,3.104166667,20,745,0
80,2800,1,240,3.104166667,20,745,0
80,2800,1,240,3.104166667,20,745,0
40,1400,0.5,120,3.104166667,10,372.5,0
40,1400,0.5,120,3.104166667,10,372.5,0
40,1400,0.5,120,3.104166667,10,372.5,0
80,2800,1,240,3.104166667,20,745,0
80,2800,1,240,3.104166667,20,745,0
80,2800,1,240,3.104166667,20,745,0
80,2800,1,240,3.104166667,20,745,0
80,2800,1,240,3.104166667,20,745,0
160,5600,2,480,3.104166667,40,1490,1
160,5600,2,480,3.104166667,40,1490,1
160,5600,2,480,3.104166667,40,1490,1
160,5600,2,480,3.104166667,40,1490,1
160,5600,2,480,3.104166667,40,1490,1
160,5600,2,480,3.104166667,40,1490,1
40,1400,0.5,120,3.104166667,10,372.5,0
40,1400,0.5,120,3.104166667,10,372.5,0
40,1400,0.5,120,3.104166667,10,372.5,0
40,1400,0.5,120,3.104166667,10,372.5,0
160,5600,2,480,3.104166667,40,1490,1
120,4200,1.5,360,3.104166667,30,1117.5,0
160,5600,2,480,3.104166667,40,1490,1
160,5600,2,480,3.104166667,40,1490,1
160,5600,2,480,3.104166667,40,1490,1
80,2800,1,240,3.104166667,20,745,0
80,2800,1,240,3.104166667,20,745,0
80,2800,1,240,3.104166667,20,745,0
160,5600,2,480,3.104166667,40,1490,1
160,5600,2,480,3.104166667,40,1490,1
160,5600,2,480,3.104166667,40,1490,1
120,4200,1.5,360,3.104166667,30,1117.5,0
120,4200,1.5,360,3.104166667,30,1117.5,0
120,4200,1.5,360,3.104166667,30,1117.5,0
120,4200,1.5,360,3.104166667,30,1117.5,0
160,5600,2,480,3.104166667,40,1490,1
160,5600,2,480,3.104166667,40,1490,1
160,5600,2,480,3.104166667,40,1490,1
160,5600,2,480,3.104166667,40,1490,1
160,5600,2,480,3.104166667,40,1490,1
120,4200,1.5,360,3.104166667,30,1117.5,0
80,2800,1,240,3.104166667,20,745,0
80,2800,1,240,3.104166667,20,745,0
